"ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,""2019"
"[note 1]"""
"ITL3,TLJ37,North Hampshire,""13,905"",""13,984"",""14,352"",""15,247"",""15,618"",""16,027"",""16,135"",""16,788"",""17,134"",""17,565"",""18,519"",""18,971"",""19,340"",""19,362"",""19,622"",""20,514"",""21,324"",""21,748"",""23,270"",""23,314"",""24,029"",""25,053"",""25,636"""
"ITL2,TLJ4,Kent,""11,568"",""11,611"",""12,081"",""12,898"",""13,353"",""13,757"",""13,916"",""14,517"",""15,011"",""15,493"",""16,234"",""16,607"",""17,058"",""17,191"",""17,446"",""18,011"",""18,605"",""19,081"",""20,074"",""20,478"",""20,790"",""21,577"",""22,110"""
"ITL3,TLJ41,Medway,""10,827"",""10,623"",""11,080"",""11,725"",""12,160"",""12,529"",""12,660"",""13,278"",""13,696"",""14,094"",""14,801"",""15,107"",""15,625"",""15,653"",""15,907"",""16,232"",""16,500"",""16,871"",""17,813"",""18,223"",""18,503"",""19,213"",""19,814"""
"ITL3,TLJ44,East Kent,""9,064"",""9,298"",""9,818"",""10,540"",""11,089"",""11,583"",""11,801"",""12,318"",""12,857"",""13,312"",""14,044"",""14,467"",""15,164"",""15,381"",""15,688"",""16,250"",""16,812"",""17,187"",""17,945"",""18,299"",""18,576"",""19,167"",""19,635"""
"ITL3,TLJ45,Mid Kent,""12,649"",""12,716"",""13,176"",""14,103"",""14,532"",""14,777"",""14,915"",""15,524"",""15,993"",""16,465"",""17,167"",""17,491"",""17,797"",""17,930"",""18,062"",""18,728"",""19,412"",""19,804"",""20,485"",""21,075"",""21,326"",""22,033"",""22,491"""
"ITL3,TLJ46,West Kent,""15,777"",""15,665"",""16,055"",""17,201"",""17,585"",""17,905"",""18,001"",""18,831"",""19,401"",""20,012"",""20,830"",""21,247"",""21,435"",""21,522"",""21,794"",""22,562"",""23,436"",""24,285"",""26,031"",""26,149"",""26,510"",""27,737"",""28,370"""
"ITL2,TLK1,""Gloucestershire, Wiltshire and Bath/Bristol area"",""11,558"",""11,772"",""12,300"",""12,949"",""13,312"",""13,489"",""13,763"",""14,194"",""14,806"",""15,508"",""16,066"",""16,562"",""16,566"",""16,909"",""17,253"",""17,697"",""18,388"",""19,066"",""20,096"",""20,305"",""20,564"",""21,627"",""22,205"""
"ITL3,TLK11,Bristol,""10,365"",""10,485"",""10,952"",""11,635"",""12,106"",""12,271"",""12,479"",""12,885"",""13,091"",""13,684"",""14,331"",""14,719"",""14,643"",""15,133"",""15,508"",""15,757"",""16,295"",""16,873"",""17,812"",""18,354"",""18,751"",""19,592"",""20,249"""
"ITL3,TLK12,South Gloucestershire,""12,081"",""12,468"",""13,063"",""13,399"",""13,502"",""13,654"",""14,088"",""14,412"",""15,023"",""15,875"",""16,460"",""17,133"",""17,083"",""17,392"",""17,788"",""18,320"",""19,018"",""19,615"",""21,053"",""21,111"",""21,239"",""22,436"",""23,065"""
"ITL3,TLK12,Bath and North East Somerset,""12,081"",""12,468"",""13,063"",""13,399"",""13,502"",""13,654"",""14,088"",""14,412"",""15,023"",""15,875"",""16,460"",""17,133"",""17,083"",""17,392"",""17,788"",""18,320"",""19,018"",""19,615"",""21,053"",""21,111"",""21,239"",""22,436"",""23,065"""
"ITL3,TLK12,North Somerset,""12,081"",""12,468"",""13,063"",""13,399"",""13,502"",""13,654"",""14,088"",""14,412"",""15,023"",""15,875"",""16,460"",""17,133"",""17,083"",""17,392"",""17,788"",""18,320"",""19,018"",""19,615"",""21,053"",""21,111"",""21,239"",""22,436"",""23,065"""
"ITL3,TLK13,Gloucestershire,""11,754"",""11,911"",""12,411"",""13,110"",""13,563"",""13,626"",""13,727"",""14,373"",""15,355"",""16,080"",""16,592"",""17,151"",""17,190"",""17,599"",""17,813"",""18,358"",""19,143"",""20,037"",""20,907"",""21,011"",""21,075"",""22,042"",""22,516"""
